Excercise,Equipment Required,Aux Equipment,Difficulty,Muscle Group,Primary,Secondary
Dumbbell Flies - Stability Ball,Dumbbells,Stability ball (Swiss ball),Intermediate,CHEST,Pectorals,"Anterior Deltoids, Serratus Anterior, Transverse Abdominis"
Dumbbell Flyes,Dumbbells,Bench press,Intermediate,CHEST,Pectorals,"Anterior Deltoids, Serratus Anterior, Biceps"
Dumbbell Flyes - Floor,Dumbbells,,Intermediate,CHEST,Pectorals,"Anterior Deltoids, Serratus Anterior, Biceps"
Dumbbell Hammer Press - Floor,Dumbbells,,Intermediate,CHEST,"Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Dumbbell Incline Press - Stability Ball,Dumbbells,Stability ball,Intermediate,CHEST,"Upper Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Transverse Abdominis"
Dumbbell Press - Stability Ball,Dumbbells,Stability ball (Swiss ball),Intermediate,CHEST,"Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Transverse Abdominis, Erector Spinae"
Dumbbell Press- Floor,Dumbbells,,Intermediate,CHEST,"Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Dumbbell Push Up,Dumbbells,,Intermediate,CHEST,"Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Transverse Abdominis"
Dumbbell Svend Press,Dumbbells,,Intermediate,CHEST,Pectorals (Inner),"Anterior Deltoids, Triceps, Serratus Anterior"
Dumbell Crush Press - Squeeze Press,Dumbbells,Bench press,Intermediate,CHEST,"Pectorals (Inner), Triceps","Anterior Deltoids, Serratus Anterior"
Explosive Pushup,None,,Beginner,CHEST,"Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Transverse Abdominis"
Hand Release Push-Up,None,,Beginner,CHEST,"Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Erector Spinae, Transverse Abdominis"
Hand Release Push-Up - Plyo Push Up,None,,Beginner,CHEST,"Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Erector Spinae"
High To Low Cable Fly,Cable machine,,Intermediate,CHEST,Lower Pectorals,"Anterior Deltoids, Serratus Anterior, Biceps"
Incline Cable Chest Press,Cable machine,Incline Bench,Intermediate,CHEST,"Upper Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Incline Diamond Pushups,Incline Bench,,Advanced,CHEST,"Triceps, Lower Pectorals, Anterior Deltoids",Serratus Anterior
Incline Dumbbell Flyes,Dumbbells,Incline Bench,Intermediate,CHEST,Upper Pectorals,"Anterior Deltoids, Serratus Anterior, Biceps"
Incline Dumbbell Press,Dumbbells,Incline Bench,Intermediate,CHEST,"Upper Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Rhomboids"
Incline Push Up Rotation,Incline Bench,,Advanced,CHEST,"Pectorals, Triceps, Deltoids, Obliques","Transverse Abdominis, Serratus Anterior"
Incline Push Up With Bench,Bench press,,Advanced,CHEST,"Lower Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Leverage Chest Press,Leverage Chest Press,,Advanced,CHEST,"Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Leverage Incline Chest Press,Leverage Chest Press,,Advanced,CHEST,"Upper Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Machine Chest Press,Chest Press Machine,,Advanced,CHEST,"Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Machine Pec Deck Fly,Pec Deck,,Advanced,CHEST,Pectorals,"Anterior Deltoids, Serratus Anterior"
Pseudo Push Up,None,,Beginner,CHEST,"Triceps, Pectorals, Anterior Deltoids, Serratus Anterior","Transverse Abdominis, Wrist Flexors"
Push Up On Knees,None,,Beginner,CHEST,"Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Push Ups,None,,Beginner,CHEST,"Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Transverse Abdominis"
Pushups,None,,Beginner,CHEST,"Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Transverse Abdominis"
Scapular Push-Ups,None,,Beginner,CHEST,Serratus Anterior,"Rhomboids, Trapezius, Pectorals"
Seated Leverage Decline Chest Press,Leverage Chest Press,,Advanced,CHEST,"Lower Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Single-Arm Cable Crossover,Cable machine,,Intermediate,CHEST,Pectorals,"Anterior Deltoids, Serratus Anterior, Obliques"
Smith Machine Bench Press,Smith Machine,,Advanced,CHEST,"Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Smith Machine Decline Bench Press,Smith Machine,,Advanced,CHEST,"Lower Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Smith Machine Incline Bench Press,Smith Machine,,Advanced,CHEST,"Upper Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Spider Push Ups,None,,Beginner,CHEST,"Pectorals, Triceps, Anterior Deltoids","Obliques, Transverse Abdominis, Serratus Anterior"
Standing Cable Chest Press,Cable machine,,Intermediate,CHEST,"Pectorals, Triceps, Anterior Deltoids","Transverse Abdominis, Serratus Anterior"
Straight-Arm Dumbbell Pullover,Dumbbells,Incline Bench,Intermediate,CHEST,"Latissimus Dorsi, Pectorals","Triceps, Serratus Anterior, Teres Major"
Svend Press,Barbells,,Advanced,CHEST,Pectorals (Inner),"Anterior Deltoids, Triceps, Serratus Anterior"
T-Push Ups,None,,Beginner,CHEST,"Pectorals, Triceps, Deltoids, Obliques","Transverse Abdominis, Serratus Anterior"
Uneven Push Up,Dumbbells,,Intermediate,CHEST,"Pectorals (Unilateral), Triceps, Deltoids","Serratus Anterior, Transverse Abdominis"
Wall Pushups,None,,Beginner,CHEST,"Pectorals, Triceps, Anterior Deltoids",Serratus Anterior
Weighted Push Up,Weighted Vest,,Advanced,CHEST,"Pectorals, Triceps, Anterior Deltoids","Serratus Anterior, Transverse Abdominis"
Wide Push Ups,None,,Beginner,CHEST,"Pectorals (Outer), Triceps, Anterior Deltoids","Serratus Anterior, Transverse Abdominis"
Wide Pushups,None,,Beginner,CHEST,"Pectorals (Outer), Triceps, Anterior Deltoids","Serratus Anterior, Transverse Abdominis"
Reverse Wrist Curl Single Db,Dumbbells,,Intermediate,FOREARMS,Forearm Extensors (Brachioradialis),"Brachialis, Biceps"
Db Wrist Curls,Dumbbells,,Intermediate,FOREARMS,Forearm Flexors (Wrist Flexors),"Brachioradialis, Brachialis"
Back Squats,Barbells,,Advanced,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Erector Spinae, Adductors, Gastrocnemius"
Banded Clam Shells,Resistance bands,,Advanced,LEGS & GLUTES,"Gluteus Medius, Hip Abductors","Gluteus Maximus, Piriformis, Hip External Rotators"
Barbell Deadlift,Barbells,,Advanced,LEGS & GLUTES,"Erector Spinae, Glutes, Hamstrings","Quadriceps, Trapezius, Rhomboids, Forearm Flexors"
Barbell Hip Thrusts,Barbells,Incline Bench,Advanced,LEGS & GLUTES,Glutes (Gluteus Maximus),"Hamstrings, Erector Spinae, Adductors"
Barbell Seated Calf Raise,Barbells,,Advanced,LEGS & GLUTES,Soleus,"Gastrocnemius, Tibialis Posterior"
Barbell Sumo Squats,Barbells,,Advanced,LEGS & GLUTES,"Glutes, Adductors, Quadriceps","Hamstrings, Erector Spinae, Gastrocnemius"
Bodyweight Squats,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Erector Spinae, Gastrocnemius"
Box Jumps,Incline Bench,Plyometric box,Advanced,LEGS & GLUTES,"Quadriceps, Glutes, Gastrocnemius","Hamstrings, Hip Flexors, Erector Spinae"
Box Jumps With Bench,Bench press,,Advanced,LEGS & GLUTES,"Quadriceps, Glutes, Gastrocnemius","Hamstrings, Hip Flexors, Erector Spinae"
Broad Jumps,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes, Gastrocnemius","Hamstrings, Hip Flexors, Erector Spinae"
Bulgarian Split Squat Left,Incline Bench,Plyometric box,Advanced,LEGS & GLUTES,"Quadriceps (Front Leg), Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Bulgarian Split Squat Right,Incline Bench,Plyometric box,Advanced,LEGS & GLUTES,"Quadriceps (Front Leg), Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Bulgarian Split Squats,Medicine Ball,,Advanced,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae, Hip Flexors"
Cable Abduction,Cable machine,,Intermediate,LEGS & GLUTES,Hip Abductors (Gluteus Medius),"Gluteus Maximus, Tensor Fasciae Latae"
Cable Kick Backs,Cable machine,,Intermediate,LEGS & GLUTES,Glutes (Gluteus Maximus),"Hamstrings, Hip Extensors"
Calf Press On The Leg Press Machine,Leg Press,,Advanced,LEGS & GLUTES,Gastrocnemius,"Soleus, Tibialis Posterior"
Cossack Squat,None,,Beginner,LEGS & GLUTES,"Quadriceps, Adductors, Glutes","Hamstrings, Gastrocnemius, Hip Flexors"
Db Calf Raises,Dumbbells,,Intermediate,LEGS & GLUTES,Gastrocnemius,"Soleus, Tibialis Posterior"
Db Goblet Squat,Dumbbells,,Intermediate,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Erector Spinae, Adductors, Gastrocnemius"
Db Leg Extensions,Dumbbells,,Intermediate,LEGS & GLUTES,Quadriceps,Hip Flexors
Db Lying Leg Curls,Dumbbells,,Intermediate,LEGS & GLUTES,Hamstrings,"Glutes, Gastrocnemius"
Db Seated Calf Raises,Dumbbells,,Intermediate,LEGS & GLUTES,Soleus,"Gastrocnemius, Tibialis Posterior"
Db Squats,Dumbbells,,Intermediate,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Erector Spinae, Gastrocnemius"
Db Step Up,Dumbbells,,Intermediate,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Db Sumo Squat,Dumbbells,,Intermediate,LEGS & GLUTES,"Adductors, Glutes, Quadriceps","Hamstrings, Erector Spinae, Gastrocnemius"
Deadlift,Barbells,,Advanced,LEGS & GLUTES,"Erector Spinae, Glutes, Hamstrings","Quadriceps, Trapezius, Rhomboids, Forearm Flexors"
Donkey Kicks Left,None,,Beginner,LEGS & GLUTES,Glutes (Gluteus Maximus),"Hamstrings, Erector Spinae"
Donkey Kicks Right,None,,Beginner,LEGS & GLUTES,Glutes (Gluteus Maximus),"Hamstrings, Erector Spinae"
Duck Walks,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes","Adductors, Hamstrings, Gastrocnemius"
Dumbbell Bulgarian Split Squat,Dumbbells,Incline Bench,Intermediate,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae, Hip Flexors"
Dumbbell Dead Lifts - Full Range,Dumbbells,,Intermediate,LEGS & GLUTES,"Erector Spinae, Glutes, Hamstrings","Quadriceps, Trapezius, Forearm Flexors"
Dumbbell Deadlifts,Dumbbells,,Intermediate,LEGS & GLUTES,"Erector Spinae, Glutes, Hamstrings","Quadriceps, Trapezius, Forearm Flexors"
Dumbbell Hip Thrust,Dumbbells,Incline Bench,Intermediate,LEGS & GLUTES,Glutes (Gluteus Maximus),"Hamstrings, Erector Spinae, Adductors"
Dumbbell Jump Squats,Dumbbells,,Intermediate,LEGS & GLUTES,"Quadriceps, Glutes, Gastrocnemius","Hamstrings, Erector Spinae"
Dumbbell Lateral Lunge,Dumbbells,,Intermediate,LEGS & GLUTES,"Adductors, Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Dumbbell Lunges,Dumbbells,,Intermediate,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Dumbbell Reverse Lunges,Dumbbells,,Intermediate,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Dumbbell Staggered Stance Rdl,Dumbbells,,Intermediate,LEGS & GLUTES,"Hamstrings, Glutes (Single Leg Emphasis)","Erector Spinae, Adductors, Gastrocnemius"
Explosive Bulgarian Jump,Incline Bench,,Advanced,LEGS & GLUTES,"Quadriceps, Glutes, Gastrocnemius","Hamstrings, Hip Flexors, Erector Spinae"
Fire Hydrants Left,None,,Beginner,LEGS & GLUTES,"Gluteus Medius, Hip Abductors","Gluteus Maximus, Hip External Rotators"
Fire Hydrants Right,None,,Beginner,LEGS & GLUTES,"Gluteus Medius, Hip Abductors","Gluteus Maximus, Hip External Rotators"
Floor Glute Bridge,None,,Beginner,LEGS & GLUTES,Glutes (Gluteus Maximus),"Hamstrings, Erector Spinae, Transverse Abdominis"
Floor Hip Thrusts,None,,Beginner,LEGS & GLUTES,Glutes (Gluteus Maximus),"Hamstrings, Erector Spinae, Adductors"
Frog Jumps,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes, Adductors","Hamstrings, Gastrocnemius, Hip Flexors"
Frog Pumps,Barbells,,Advanced,LEGS & GLUTES,"Glutes (Gluteus Maximus), Adductors","Hamstrings, Hip External Rotators"
Front Squat,Barbells,,Advanced,LEGS & GLUTES,"Quadriceps, Glutes","Erector Spinae, Adductors, Gastrocnemius, Core"
Glute Bridge,None,,Beginner,LEGS & GLUTES,Glutes (Gluteus Maximus),"Hamstrings, Erector Spinae, Transverse Abdominis"
Glute Ham Raise,Reverse Sit-up Machine,,Advanced,LEGS & GLUTES,"Hamstrings, Glutes","Erector Spinae, Gastrocnemius"
Goblet Squat Heels Elevated,Dumbbells,Barbells,Intermediate,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Erector Spinae, Adductors"
Hack Squat,45 Leg Press,,Advanced,LEGS & GLUTES,Quadriceps,"Glutes, Hamstrings, Gastrocnemius"
Hamstring Curl Stability Ball,Stability ball (Swiss ball),,Advanced,LEGS & GLUTES,Hamstrings,"Glutes, Gastrocnemius, Erector Spinae, Transverse Abdominis"
Hamstring Curl Stability Ball - Single Leg,Stability ball (Swiss ball),,Advanced,LEGS & GLUTES,Hamstrings,"Glutes, Gastrocnemius, Transverse Abdominis"
Hamstring Nordic Curls,Nordic Curl Machine,,Advanced,LEGS & GLUTES,Hamstrings,"Glutes, Gastrocnemius"
Hip Abductor,Hip Abductor,,Advanced,LEGS & GLUTES,Hip Abductors (Gluteus Medius),"Gluteus Maximus, Tensor Fasciae Latae"
Hip Thrust Single Leg,Dumbbells,,Intermediate,LEGS & GLUTES,Glutes (Gluteus Maximus),"Hamstrings, Erector Spinae"
Jump Split Squat,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes, Gastrocnemius","Hamstrings, Hip Flexors"
Jump Squat Pause,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes, Gastrocnemius","Hamstrings, Erector Spinae, Hip Flexors"
Jump Squats,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes, Gastrocnemius","Hamstrings, Erector Spinae"
Jumping Lunges,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes, Hamstrings","Gastrocnemius, Hip Flexors, Erector Spinae"
Jumping Squats,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes, Gastrocnemius","Hamstrings, Erector Spinae"
Kettlebell Goblet Squat,Kettlebells,,Intermediate,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Erector Spinae, Adductors"
Kettlebell Lunge,Kettlebells,,Intermediate,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Landmine Curtsy Lunge,Barbells,,Advanced,LEGS & GLUTES,"Glutes, Adductors, Quadriceps","Hamstrings, Erector Spinae, Gastrocnemius"
Landmine Squat,Barbells,,Advanced,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Erector Spinae, Adductors"
Landmine Sumo Deadlift,Barbells,,Advanced,LEGS & GLUTES,"Glutes, Adductors, Hamstrings","Erector Spinae, Quadriceps"
Landmine Thruster,Barbells,,Advanced,LEGS & GLUTES,"Quadriceps, Glutes, Deltoids","Hamstrings, Triceps, Erector Spinae"
Leg Extensions,Leg Extension Machine,,Advanced,LEGS & GLUTES,Quadriceps,Hip Flexors
Leg Press,Leg Press,,Advanced,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Adductors"
Lunges,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Lying Leg Curls,Leg Extension Machine,,Advanced,LEGS & GLUTES,Hamstrings,"Glutes, Gastrocnemius"
Pile Squats,None,,Beginner,LEGS & GLUTES,"Adductors, Glutes, Quadriceps","Hamstrings, Erector Spinae, Gastrocnemius"
Plank Leg Lifts,None,,Beginner,LEGS & GLUTES,"Glutes, Hamstrings","Transverse Abdominis, Erector Spinae, Deltoids"
Pull Throughs,Cable machine,,Intermediate,LEGS & GLUTES,"Glutes, Hamstrings","Erector Spinae, Adductors"
Reverse Hyperextension With Bench,Incline Bench,,Advanced,LEGS & GLUTES,"Glutes, Hamstrings","Erector Spinae, Hip Extensors"
Reverse Lunge,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Romanian Dead Lift,Barbells,,Advanced,LEGS & GLUTES,"Hamstrings, Glutes","Erector Spinae, Adductors, Gastrocnemius"
Romanian Dumbbell Deadlift,Dumbbells,,Intermediate,LEGS & GLUTES,"Hamstrings, Glutes","Erector Spinae, Adductors, Gastrocnemius"
Seated Calf Raise Machine,Calf Raise Machine,,Advanced,LEGS & GLUTES,Soleus,"Gastrocnemius, Tibialis Posterior"
Seated Dumbbell Calf Raises,Dumbbells,,Intermediate,LEGS & GLUTES,Soleus,"Gastrocnemius, Tibialis Posterior"
Side Lunges - Left,None,,Beginner,LEGS & GLUTES,"Adductors, Quadriceps, Glutes","Hamstrings, Gastrocnemius"
Side Lunges - Right,None,,Beginner,LEGS & GLUTES,"Adductors, Quadriceps, Glutes","Hamstrings, Gastrocnemius"
Side Shuffles,None,,Beginner,LEGS & GLUTES,"Hip Abductors, Adductors, Quadriceps","Glutes, Gastrocnemius, Hamstrings"
Side-Lying Leg Lifts - Left,None,,Beginner,LEGS & GLUTES,Hip Abductors (Gluteus Medius),"Gluteus Maximus, Tensor Fasciae Latae"
Side-Lying Leg Lifts - Right,None,,Beginner,LEGS & GLUTES,Hip Abductors (Gluteus Medius),"Gluteus Maximus, Tensor Fasciae Latae"
Single Leg Calf Raise,None,,Beginner,LEGS & GLUTES,Gastrocnemius,"Soleus, Tibialis Posterior"
Single Leg Dumbbell Lunges,Dumbbells,,Intermediate,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Single Leg Dumbbell Split Squats,Dumbbells,,Intermediate,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Single-Leg Hip Extension,None,,Beginner,LEGS & GLUTES,Glutes (Gluteus Maximus),"Hamstrings, Erector Spinae"
Single-Leg Squats,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Hip Abductors, Erector Spinae"
Skater Jumps,None,,Beginner,LEGS & GLUTES,"Glutes, Quadriceps, Hip Abductors","Hamstrings, Gastrocnemius, Adductors"
Smith Machine Reverse Calf Raises,Smith Machine,,Advanced,LEGS & GLUTES,Tibialis Anterior,"Extensor Digitorum, Peroneus Tertius"
Split Squat Jump,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes, Gastrocnemius","Hamstrings, Hip Flexors"
Squat - Low Bar,Barbells,,Advanced,LEGS & GLUTES,"Glutes, Quadriceps","Hamstrings, Erector Spinae, Adductors, Gastrocnemius"
Squat Hold With Calf Raises,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes, Gastrocnemius","Hamstrings, Erector Spinae, Soleus"
Squat Pulses - Bodyweight,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Erector Spinae, Gastrocnemius"
Squat With Pause,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Erector Spinae, Adductors, Gastrocnemius"
Squats,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Erector Spinae, Adductors, Gastrocnemius"
Standing Calf Raise,Barbells,,Advanced,LEGS & GLUTES,Gastrocnemius,"Soleus, Tibialis Posterior"
Standing Calf Raises,Barbells,,Advanced,LEGS & GLUTES,Gastrocnemius,"Soleus, Tibialis Posterior"
Step Ups,Step platform,,Advanced,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Sumo Deadlift,Barbells,,Advanced,LEGS & GLUTES,"Adductors, Glutes, Quadriceps","Hamstrings, Erector Spinae, Trapezius"
Sumo Squats - Bodyweight,None,,Beginner,LEGS & GLUTES,"Adductors, Glutes, Quadriceps","Hamstrings, Erector Spinae"
Walking Lunge Barbell,Barbells,,Advanced,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Walking Lunge Dumbbell,Dumbbells,,Intermediate,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Wall Sit,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Wall Sits,None,,Beginner,LEGS & GLUTES,"Quadriceps, Glutes","Hamstrings, Gastrocnemius, Erector Spinae"
Resistance Band Bicep Curls,None,,Beginner,RESISTANCE BAND,Biceps Brachii,"Brachialis, Brachioradialis, Forearm Flexors"
Resistance Band Hip Abduction,None,,Beginner,RESISTANCE BAND,Hip Abductors (Gluteus Medius),"Gluteus Maximus, Tensor Fasciae Latae"
Resistance Band Kneeling Crunch,None,,Beginner,RESISTANCE BAND,Rectus Abdominis,"Obliques, Transverse Abdominis, Hip Flexors"
Resistance Band Leg Raises,None,,Beginner,RESISTANCE BAND,"Rectus Abdominis, Hip Flexors","Obliques, Transverse Abdominis, Quadriceps"
Resistance Band Pull Aparts,None,,Beginner,RESISTANCE BAND,"Rear Deltoids, Rhomboids","Trapezius, External Rotators"
Resistance Band Squats,None,,Beginner,RESISTANCE BAND,"Quadriceps, Glutes","Hamstrings, Erector Spinae, Hip Abductors"
Resistance Band Tricep Pushdown,None,,Beginner,RESISTANCE BAND,Triceps,"Forearm Extensors, Anconeus"
Standing Toe Touches,None,,Beginner,RESISTANCE BAND,"Hamstrings, Erector Spinae","Glutes, Calves, Rectus Abdominis"
Weighted Russian Twists,Dumbbells,,Intermediate,RESISTANCE BAND,"Obliques, Rectus Abdominis","Transverse Abdominis, Hip Flexors, Erector Spinae"
Arnold Press,Dumbbells,,Intermediate,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Upper Trapezius, Supraspinatus"
Barbell Shrugs,Barbells,,Advanced,SHOULDERS,Upper Trapezius,"Levator Scapulae, Rhomboids"
Barbell Upright Rows,Barbells,,Advanced,SHOULDERS,"Medial Deltoids, Upper Trapezius","Anterior Deltoids, Biceps, Brachioradialis"
Behind Neck Press,Dead Lift Machine,,Advanced,SHOULDERS,"Medial Deltoids, Anterior Deltoids","Triceps, Upper Trapezius, Supraspinatus"
Bent Over Side Raises,Cable machine,,Intermediate,SHOULDERS,Rear Deltoids,"Rhomboids, Trapezius, Teres Minor, Infraspinatus"
Cable Bent Over Rear Delt Fly,Cable machine,,Intermediate,SHOULDERS,Rear Deltoids,"Rhomboids, Trapezius, Teres Minor"
Cable Crossover Lateral Raise,Cable machine,,Intermediate,SHOULDERS,Medial Deltoids,"Upper Trapezius, Supraspinatus, Anterior Deltoids"
Cable External Shoulder Rotation,Cable machine,,Intermediate,SHOULDERS,"Infraspinatus, Teres Minor (Rotator Cuff)","Rear Deltoids, Rhomboids"
Cable Front Raise Double Arm,Cable machine,,Intermediate,SHOULDERS,Anterior Deltoids,"Medial Deltoids, Upper Trapezius, Pectorals"
Cable Front Raise Single Arm,Cable machine,,Intermediate,SHOULDERS,Anterior Deltoids,"Medial Deltoids, Upper Trapezius, Pectorals"
Cable Rope Upright Row,Cable machine,,Intermediate,SHOULDERS,"Medial Deltoids, Upper Trapezius","Anterior Deltoids, Biceps, Brachioradialis"
Cable Shoulder Press,Cable machine,,Intermediate,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Upper Trapezius, Supraspinatus"
Cable Shrugs,Cable machine,,Intermediate,SHOULDERS,Upper Trapezius,"Levator Scapulae, Rhomboids"
Cable Single Arm Lateral Raise,Cable machine,,Intermediate,SHOULDERS,Medial Deltoids,"Upper Trapezius, Supraspinatus, Anterior Deltoids"
Cable Upright Rear Delt Fly,Cable machine,,Intermediate,SHOULDERS,Rear Deltoids,"Rhomboids, Trapezius, Teres Minor"
Db Bent Over Flyes,Dumbbells,,Intermediate,SHOULDERS,Rear Deltoids,"Rhomboids, Trapezius, Teres Minor, Infraspinatus"
Db External Rotation,Dumbbells,,Intermediate,SHOULDERS,"Infraspinatus, Teres Minor (Rotator Cuff)","Rear Deltoids, Rhomboids"
Db Front & Side Raise Superset,Dumbbells,,Intermediate,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Upper Trapezius, Supraspinatus, Pectorals"
Db Front Raises,Dumbbells,,Intermediate,SHOULDERS,Anterior Deltoids,"Medial Deltoids, Upper Trapezius, Pectorals"
Db Seated Lateral Raises,Dumbbells,,Intermediate,SHOULDERS,Medial Deltoids,"Upper Trapezius, Supraspinatus, Anterior Deltoids"
Db Shoulder Press,Dumbbells,,Intermediate,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Upper Trapezius, Supraspinatus"
Db Shrugs,Dumbbells,,Intermediate,SHOULDERS,Upper Trapezius,"Levator Scapulae, Rhomboids"
Dolphin Push Up,None,,Beginner,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Upper Trapezius, Erector Spinae, Pectorals"
Dumbbell Front & Side Press Superset,Dumbbells,,Intermediate,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Upper Trapezius, Pectorals"
Dumbbell Front Raises Standing,Dumbbells,,Intermediate,SHOULDERS,Anterior Deltoids,"Medial Deltoids, Upper Trapezius, Pectorals"
Dumbbell Lateral Raise,Dumbbells,,Intermediate,SHOULDERS,Medial Deltoids,"Upper Trapezius, Supraspinatus, Anterior Deltoids"
Dumbbell Shoulder Press,Dumbbells,,Intermediate,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Upper Trapezius, Supraspinatus"
Dumbbell Shoulder Press Standing,Dumbbells,,Intermediate,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Upper Trapezius, Supraspinatus, Erector Spinae"
Dumbbell Swing,Dumbbells,,Intermediate,SHOULDERS,"Deltoids, Glutes, Hamstrings","Erector Spinae, Quadriceps, Forearm Flexors"
Dumbell Lateral Raise,Dumbbells,,Intermediate,SHOULDERS,Medial Deltoids,"Upper Trapezius, Supraspinatus, Anterior Deltoids"
Face Pulls Rear Delts,Cable machine,,Intermediate,SHOULDERS,"Rear Deltoids, External Rotators","Rhomboids, Trapezius, Biceps"
Internal Rotation Dumbbell,Dumbbells,,Intermediate,SHOULDERS,Subscapularis (Rotator Cuff),"Anterior Deltoids, Pectorals"
Inverted Pushup (Raised Pike),Incline Bench,Plyometric box,Advanced,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Upper Trapezius, Pectorals"
Kettlebell Shoulder Press,Kettlebells,,Intermediate,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Upper Trapezius, Supraspinatus"
Kettlebell Snatch,Kettlebells,,Intermediate,SHOULDERS,"Deltoids, Glutes, Hamstrings","Erector Spinae, Quadriceps, Trapezius, Forearm Flexors"
Landmine Kneeling Press Double Arm,Barbells,,Advanced,SHOULDERS,"Anterior Deltoids, Medial Deltoids","Triceps, Pectorals, Erector Spinae"
